FID_1;provinces;Confirmed;Latitude;Longitude
38;AGADIR IDA OU-TANANE;37;30.41;-9.577
48;AL HAOUZ;53;31.36;-7.947
60;AL HOCEIMA;16;35.24;-3.935
52;ASSA-ZAG;1;28.68;-9.349
15;AOUSSERD;0;22.58;-14.42
25;AZILAL;50;31.96;-6.57
26;BENI MELLAL;10;32.33;-6.368
31;BENSLIMANE;59;33.61;-7.123
54;BERKANE;46;34.92;-2.325
33;BERRECHID;61;33.26;-7.589
18;BOUJDOUR;4;26.22;-14.4
66;BOULEMANE;0;33.05;-3.989
57;CASABLANCA;1671;33.6;-7.63
3;CHEFCHAOUEN;0;35.17;-5.269
29;CHICHAOUA;25;31.55;-8.767
24;CHTOUKA - AIT BAHA;2;30.22;-9.37
5;DRIOUCH;10;34.98;-3.393
70;EL HAJEB;122;33.69;-5.366
56;EL JADIDA;24;33.24;-8.51
49;EL KELAA SRAGHNA;10;32.05;-7.4
41;ERRACHIDIA;7;31.94;-4.423
28;ESSAOUIRA;5;31.46;-9.749
17;ES-SEMARA;0;26.62;-11.78
1;FAHS-ANJRA;0;35.66;-5.514
72;FES;613;34.02;-4.979
44;FIGUIG;1;32.11;-1.224
27;FQIH BEN SALAH;16;32.5;-6.688
21;GUELMIM;42;28.99;-10.07
8;GUERCIF;8;34.23;-3.349
69;IFRANE;20;33.53;-5.105
36;INEZGANE AIT MELLOUL;41;30.36;-9.552
14;JERADA;0;34.3;-2.18
63;KENITRA;37;34.27;-6.538
74;KHEMISSET;22;33.82;-6.068
42;KHENIFRA;1;32.94;-5.666
30;KHOURIBGA;29;32.88;-6.915
16;LAAYOUNE;0;27.17;-13.09
46;LARACHE;164;35.18;-6.152
62;M'DIQ-FNIDEQ;0;35.69;-5.325
59;MEDIOUNA;123;33.45;-7.514
73;MEKNES;119;33.88;-5.507
71;MARRAKECH;995;31.61;-7.95
40;MIDELT;52;32.7;-4.733
35;MOHAMMADIA;320;33.7;-7.39
68;MY YACOUB;7;34.09;-5.178
58;NADOR;43;35.17;-2.924
34;NOUACEUR;85;33.38;-7.559
11;OUARZAZATE;503;30.93;-6.915
23;OUEZZANE;1;34.8;-5.57
4;OUED  ED DAHAB;5;23.75;-15.92
6;OUJDA - ANGAD;70;34.7;-1.903
75;RABAT;289;33.99;-6.87
47;REHAMNA;233;32.24;-7.947
50;SAFI;5;32.29;-9.231
51;SALE;201;34.06;-6.788
67;SEFROU;46;33.83;-4.83
9;SEKHIRAT-TEMARA;115;33.92;-6.91
55;SETTAT;66;33;-7.616
53;SIDI BENNOUR;0;32.66;-8.426
39;SIDI IFNI;0;29.38;-10.16
43;SIDI KACEM;0;34.23;-5.71
32;SIDI SLIMANE;1;34.26;-5.922
0;TANGER-ASSILAH;756;35.79;-5.903
19;TAN-TAN;0;28.44;-11.1
64;TAOUNATE;13;34.53;-4.646
7;TAOURIRT;9;34.41;-2.893
20;TARFAYA;0;27.93;-12.9
37;TAROUDANNT;3;30.52;-8.861
45;TATA;4;29.76;-7.969
65;TAZA;55;34.22;-4.014
2;TETOUAN;77;35.58;-5.349
13;TINGHIR;10;31.52;-5.503
22;TIZNIT;0;29.69;-9.704
10;YOUSSOUFIA;0;32.24;-8.527
12;ZAGORA;14;30.32;-5.826
